text,rating,polarity_score,polarity
bantu cari kerja,5,2,positive
good,5,5,positive
hello linked knp hlmn linked menyngknan neg lembran,5,2,positive
periksa aman gua dwonlod anjir,2,-7,negative
bisa neg instal,1,0,neutral
susah banget,1,-2,negative
kecewa habisa stuck situ situ,1,0,neutral
henti,5,-4,negative
buruk daftar fb email google tetep bisa neg nunggu ubah tetep ngestak sana ngarahin web mohon baik fungsi,3,2,positive
bagus,4,2,positive
guna neg,1,1,positive
guna linkedln update bisa neg mohon developer baik linkedln,1,6,positive
rusak bisa neg tulis mari laku periksa cepat loading banget tunggu muter mulu,1,9,positive
baik,5,3,positive
kenpa ngebug tolong baik,2,6,positive
kecewa dl usee dg follower k ambil alih org bisa neg pdhl verifikasi langkah eh bikin rintis th skrg bisa neg buka dukung neg perangkat suruh hubung developer gmn,1,7,positive
loker sopir b,4,0,neutral
periksa aman cepat bisa neg tolong apknya baik,1,4,positive
alam bagus terima,5,6,positive
alam buruk developer ajar,1,-2,negative
goodluck,5,0,neutral
senang,5,5,positive
sampah bisa neg,1,-4,negative
daptar pakai ktp eh bisa neg masuk pripikasi ktp bisa neg masuk guna neg data dlm di neg salah,2,-12,negative
kali instal uninstall bisa neg gabung jaring jaring baikbaik tolong baik,2,7,positive
allah sumpah jelas neg linked tbtb ngambil uang sumpahhhhh,1,9,positive
bagus cari kerja,5,1,positive
smoga manfaat pasti,5,8,positive
kali kali susah masuk,3,-6,negative
woy gbisa gmn,1,0,neutral
susah,1,-3,negative
sengaja neg bayar premium google play mohon kembali uang,1,3,positive
sumpah susah bnget masuk aku mau neg masuk tau neg aneh,1,1,positive
bisa neg,1,0,neutral
informasi positif,4,6,positive
pernah neg baik halaman stuck periksa aman cepat tunggu sampe loading tolong perhati susah andal,1,7,positive
moga gw dapet kerja jir cape nganggur,5,-5,negative
okeh,5,0,neutral
,5,0,neutral
reset password gagal page not found,1,-2,negative
gbsa daftar akunstuk periksa,1,-4,negative
susah banget nge loading sampe tinggal solat kelar neg proses gin neg,1,4,positive
lowong kerja gagal mulu mode hp tolong benerin biar posting loker hpmobile,3,4,positive
daftar besok bisa neg henti status mari laku periksa cepat bisa neg,2,-1,negative
,5,0,neutral
erti mohon bantu bimbing kk,5,10,positive
mantap sesuai harapa,5,8,positive
bisa neg buka,1,3,positive
bagus,5,2,positive
logout pas akun ilang hanya neg teman alami sulit sulit ramah neg,1,-3,negative
manfaat informatif banyak aspekterimakasih,5,8,positive
parah gag,1,-5,negative
gabisa,1,0,neutral
awesome,5,0,neutral
moga,5,1,positive
kecewa langgan neg premium saldo dana ambil nominal rp coba aju claim dana refund tolak,1,1,positive
guna,5,1,positive
ok,5,4,positive
bisa neg,1,0,neutral
buruk periksa aman baik neg cepat atas mbps muat captcha,1,-8,negative
bantu bisa neg,3,3,positive
i got a lot of informations about how teach structure well,5,-8,negative
mari laku periksa aman cepat tolong baik servernya,1,8,positive
bantu cari kerjaloker mudah lamar,5,4,positive
good for looking job around the world,5,5,positive
professional aplication,5,0,neutral
baik,5,3,positive
laku periksa cepat maksud hapus buka neg linkedn out aneh banget,1,6,positive
susah loading periksa,1,-8,negative
terverikasi ok,5,4,positive
every thing is ok,5,4,positive
trimakasih buat perlu cari kerja jawa doa moga cepat kerja anggur manfaat guna manusia manusia,5,24,positive
sulit sulit daftar,1,1,positive
bantu cari kerja,5,2,positive
info diberioan bantu,5,0,neutral
sulit mohon awat,1,7,positive
worth have and utilize this application on my daily basis very helpful connect with executive people,5,0,neutral
ok,3,4,positive
gimana cerita bisa neg verifikasi captcha gagal mutermuter mari laku periksa aman cepat di neg browser pc,1,0,neutral
good idea,5,5,positive
lelet banget,2,1,positive
gagal teruspadahal koneksi bagus,1,0,neutral
baik aman buruk ambil alih konten ganti ada neg notifikasi apa akses ganti password aktif verifikasi langkah bisa neg fitur mari laku periksa aman cepat loading tolong baik,1,16,positive
platform hubung profesional alam newbie bsa alam komunikasi bisnis sosial,5,14,positive
too many ads annoying,1,0,neutral
dapat neg coba ubah neg halaman periksa aman cepat selesai neg loading,1,4,positive
linkedinku dadak logout periksa aman loading lama sampah,1,-10,negative
akunlinkediin ku mudah kena hack tolong baik algoritmanya terimakasih,1,8,positive
manfaat cari kerja,5,4,positive
gabisa masuk gajelass verifikasi ampe poto sim ktp gabisa gajelass ppek,1,-3,negative
ok,5,4,positive
m nt p,5,0,neutral
manfaat bisnis,5,8,positive
skli,5,0,neutral
cant keep reloading,1,0,neutral
good apps,5,5,positive
susah daftar linked,5,-2,negative
mendapt alam,1,2,positive
informasi dunia kerja,5,5,positive
bisa neg masuk periksa aman cepat mohon baik,1,0,neutral
ribet jelas neg gampang ngari kerja glints simpel ubah glint,1,6,positive
susah anjj,1,-3,negative
tolong kembali uang uang setor,1,3,positive
mohon muat loker kadaluwarsa neg,5,2,positive
dapat neg masuk ngestuck,1,-1,negative
bagus inovatif,5,2,positive
bantu cari kerja,5,2,positive
baik,5,3,positive
mohon bantu tibatiba bisa neg buka,1,8,positive
mohon dana kembali langgan sepengatahuan neg k,1,8,positive
elegan,5,4,positive
bagus,5,2,positive
download bufferingnya lewat,1,2,positive
usefull,5,0,neutral
kereen,5,0,neutral
durasi buang sabar butuh,1,-3,negative
masuk daftar susah muter jelas neg pake jaring wifi,1,-1,negative
bisa neg masuk stuck pemerikasaan aman,1,-3,negative
inibertemu profesional bidang,5,0,neutral
smpe x bisa neg tolong baik malem bisa neg pagi bisa neg siang bisa neg,1,6,positive
verifikasi belibet libet wak sodorin verifikasi profile fitur verifikasi jelek,1,-5,negative
nyoba,3,0,neutral
bisa neg masuk tau neg,1,-7,negative
download gabisaaaa,1,0,neutral
puas,5,3,positive
bosok,1,0,neutral
loginnya susah betuul pas tau besok logout bisa neg,2,-4,negative
susah kece aman loading,1,2,positive
daftar berkalikali bisa neg aneh,1,5,positive
very good apps,5,5,positive
kali ku ban sendiriii bikin cuman muncul mari laku periksa cepat tolong gimana atas,2,2,positive
mari laku periksa cepat what the hell with that words,1,2,positive
banget proses,1,2,positive
mantap bantu,5,8,positive
kayak emg sengaja mo bikin anggur banget gw kmarin mo sibuk aman trus gagal the best lorang bubar ni,1,-9,negative
rusak developer bisa neg tau fix,1,-1,negative
goood,5,0,neutral
bagus,5,2,positive
mantap baik,5,8,positive
bisa neg muter muter,1,0,neutral
verifikasi captcha nunggu sampe jam jam gabisa masuk gagal ngulang gitu captcha ggda muter muter tulis mari laku periksa aman cepat,1,-4,negative
applikasi sampah bisa neg,1,-4,negative
tolong tindaklanjuti bisa neg,1,3,positive
kerja bawah pimpin presiden,5,5,positive
susah cumak muter,1,-3,negative
kali ban tambah skrng tulis mari periksa cepat maksud tunggu jam gabisa pas selesai halaman sedia neg sistem dibenerin masalah mulu dah,1,7,positive
mantap lowkernya,5,5,positive
susah banget daftar,1,-1,negative
bisa neg teman scan foto diri foto ktp teman padahal neg,1,5,positive
daftar susah,1,-2,negative
loading bisa neg masuk,1,-3,negative
jelek aplikasi minggu gabisa periksa aman cepat masuk neg aneh komplain tp gaada tindak gimana woi butuh kerja,1,-16,negative
linked gmail profilenya kosong lama neg hapus permanen kemarin linked gmail jalan lancar ada neg tibatiba bisa neg masuk mari laku periksa aman cepat henti situ mohon cerah developer terima,1,-1,negative
terima hadir,5,4,positive
krn kerja bln tiarap rumah,3,5,positive
susah,2,-3,negative
permisi aju protes contact support beri neg respon bantu kena resticted alas jelas neg laku neg aktivitas larang respon bantu kembali tolong contact support,1,12,positive
akun tibatiba hilang jelas neg banget kemarin habis kena hackkocak,1,5,positive
,4,0,neutral
susah loading lelet,1,-3,negative
susah loginnyaaa,1,-3,negative
susah tolong periksa aman,1,-5,negative
bisa neg buka baharu jaring bagus,1,8,positive
periksa aman,1,-5,negative
gabisa bikin email ttp loading doang,1,1,positive
buka verifikasi banget harap loh,2,7,positive
mulu verifikasi aman jam bisa neg,1,2,positive
ok good,5,9,positive
i already took a photo using my passport for identification but it requires an epassport for scanning not all countries have epassports dumb,1,0,neutral
very good,5,5,positive
muter doank bisa neg masuk dr hr,2,-3,negative
periksa aman cepat bisa neg masuk masuk dah,1,-11,negative
jejaring bagus,5,2,positive
lupa password bisa neg loading,1,1,positive
bantu ok,5,7,positive
erorr,1,0,neutral
tolong kembali uang rupiah maksud neg langgan potong otomasi butuh uang mohon bantu,1,6,positive
not working on my device,1,0,neutral
hp bisa neg instal tulis kompatibel neg teruss,2,0,neutral
daftar susah,1,-2,negative
ok sgt bantu,4,7,positive
allah tahu neg dana potong google play tahu neg langgan ada solusi aju kembali dana,3,25,positive
woy linkedln ayo beffering mulu baik,1,9,positive
fungsi neg mesti sulit kece aman pengunaan,1,2,positive
bisa neg stuck periksa aman cepat apa bisaa neg tolong baik,1,1,positive
bagus info,5,-1,negative
bantu terimaskasih linkedln,5,3,positive
imfo bantu,5,3,positive
benarbenar guna a puas neg b cukup neg puas c puas puas pilih muas puas,5,14,positive
bisa neg menginstal via hp android pake iphone gabisa,1,0,neutral
keluh guna rating,1,1,positive
ampas gabisa buka,1,0,neutral
lot gabisa buka muncul tulis laku verifikasi cepat tpi loading mulu,1,4,positive
eror gimana update reset ganti mas bisa neg buka,1,2,positive
keren cari partnership bisnis,4,0,neutral
stuck periksa aman captcha muncul neg silah dibenerin webnya captcha block by csp,1,-5,negative
bisa neg buka,3,3,positive
buffring ulas,1,0,neutral
buffering,1,0,neutral
tolong susah benget guna tibatiba keluar stuck mari laku periksa aman cepat pakai email bisa neg sampek verifikasi ktp,1,0,neutral
jelek tibatiba bisa neg tolong baik aplikasi butuh fresh graduate butuh info loker please admin,1,-21,negative
uang tepotong dana pernah neg langgan tolong kembalikkan uang sya pernah neg dar,1,9,positive
sulit instal daftar,2,1,positive
saldo dana potong rp langgan neg jahat banget,1,3,positive
bikin tp pas masuk bisa neg buffering,1,0,neutral
loginnya butuh eventtttt,1,-5,negative
stuck verifikasi cepat loading masuk neg apps browser pakai hp pakai tab pakai laptop bisa neg service center hubungin mana pulak,1,-2,negative
bisa neg muncul tulis mari laku periksa cepat tunggu sekian buffering muncul halaman sedia neg liat review protes desember sampe ada neg baik,1,13,positive
,4,0,neutral
bisa neg masuk,1,-3,negative
error mulu dah mudah sulit,1,-2,negative
woy eror woy bisa neg bug woyyyyy,1,-4,negative
stuck tampil verifikasi aman hp laptop solusi,1,4,positive
bisa neg masuk,1,-3,negative
ribet lapor pernah neg,1,-2,negative
tolong bantu basa neg sandi pin mereset ulang pin da sandi bisa neg muncul bug error tampil tunggu mohon bantu giat tinggal up,1,10,positive
suka baguss pas post error loading,2,1,positive
tolong perbaikanny pliss,1,3,positive
keren,5,0,neutral
bantu cari kerja,5,2,positive
mantab bantu,5,3,positive
daftar kali bisa neg karna tetus buffering mari laku periksa aman cepat coba cari informasi internet hasil nihil,1,3,positive
saldo dana tibatiba tarik rp rasa neg langgan mohon bantu kembali dana guna neg layan,1,20,positive
gagal solusi mohon bantu,1,4,positive
bisa neg ngelag periksa cepat,1,-2,negative
bug stuck security check,1,1,positive
bisnis online kenal,5,6,positive
cacat bisa neg guna neg buffering periksa aman di neg baik cacat,1,-11,negative
bisa neg eror mohon baik,1,1,positive
informasi lowong kerja akurat muas recommend,5,9,positive
poor aplication i have lost my job because my account was blocked suddenly without any logical reason very disappointing,2,-7,negative
kompatibel neg perangkat,1,0,neutral
errorr gbisa daftar mari laku periksa aman apacb,1,0,neutral
aneh bisa neg buffering periksa aman aneh konyol,1,0,neutral
lot bgtvsetelah baru periksa aman bisa neg buka pdhl koneksi stabil,1,-2,negative
serba bayar kirim pesan musti premium bayar mahal banget,1,10,positive
guna pas bisa neg tulis mari laku periksa aman cepat buffering,1,6,positive
faster and detail,5,2,positive
periksa aman cepat bisa neg halaman web deteksi neg,1,-2,negative
mantapsemoga depa,5,0,neutral
susah daftarsudah isi nomor isi kode error isi nomor pas isi kode error kode di neg kirimkirimentah mau,1,-6,negative
bisa neg stuck tulis periksa aman cepattolong atas,3,-9,negative
bagus cari kerja,5,1,positive
penuh alam,5,2,positive
oke banget,5,3,positive
cacat,1,-5,negative
bisa neg mereset password,1,0,neutral
fungsi neg sm menyebarluaskan data pribadi bantu neg,1,0,neutral
bantu cari referensi kerja,5,2,positive
jelas neg gimana buka tulis mari laku periksa aman cepat mulu heran dah,1,9,positive
susah banget loading masuk unlimited,1,-5,negative
jelas neg,1,1,positive
fungsi apl,3,0,neutral
contoh ulas bahasa inggris tingkat daya tarik ulas profesional highly recommended nama consistently delivers highquality work and demonstrates exceptional expertise bidang ahli ive had the pleasure of working with nama on several projects their attention detail creativity and professionalism are truly impressive nama is an outstanding professional with a deep understanding of industribidang thei,5,1,positive
henti langgan sulit proses,1,-1,negative
bisa neg buffering teruss,1,0,neutral
bisa neg,1,0,neutral
daptar koq susah banget nunggu verifikasi aman,2,-1,negative
mohon info bisa neg buka,4,2,positive
bantu dunia kerja,5,6,positive
baik,5,3,positive
mudah indormasi kerja,5,6,positive
muter bisa neg,1,0,neutral
bisa neg didownload,2,0,neutral
kena hack ambil alih sesuai data ubah kenal neg nggak komplain bilang nggak langgar tentu mentok verifikasi akun kena tangguh kena sangsi tolong admin ringan,1,-10,negative
turut puas terima,5,2,positive
why when i open the appwebsite i always get stuck on quick security verification i have tried uninstalling and installing the and i have tried clearing the cache but it is still the same,1,-5,negative
dapat neg loading tulis mari laku periksa aman cepat,1,4,positive
referensi,5,0,neutral
tarik,5,2,positive
bantu,3,3,positive
harga neg privasi sebar data informasi gampang lolos,1,2,positive
masuk gimana woy gw periksa aman cepat lamaa banget gabisa gabisa,1,-4,negative
lancar situs,5,4,positive
informatif,5,0,neutral
nice,5,4,positive
update januari bisa neg henti mari laku periksa cepat mah nama guna neg update sampah,1,-5,negative
daftar error mulu mentok dibuffering periksa aman cepat tolong baik,1,-3,negative
,1,0,neutral
jelas neg susah banget ngeblank muter mulu,1,1,positive
good,1,5,positive
bisa neg dibukaakses email penuh pemberitahuan akan aktif interaksi,2,2,positive
biaya premium lewat mahal,3,5,positive
bantu,5,3,positive
kirimkn dl,4,0,neutral
langgan neg knp tarik,1,4,positive
linkedln bisa neg hp laptop keteranganya mari laku periksa aman cepat ganggu jam tunggu harap linkedln atas baik salah terimakasih,1,2,positive
stuck periksa aman cepat,1,-2,negative
so far so good,5,5,positive
maaf kk gabisa download butuh banget cari kerja,2,-3,negative
lot force close,1,-7,negative
peluang bisnis mana juang,5,6,positive
gimana daftar januari ngelengkapi profile akun index google minggu kerang pas cek akun ada neg pas gabisa tulis mari laku periksa cepat tunggu reload webnya eror halaman sedia neg gapernah device satu ko kena verifikasi gitu,1,5,positive
tutup bisa neg,1,-2,negative
senang tahu dapat,5,11,positive
bisa neg payah,1,0,neutral
bisa neg nomer telepon,1,0,neutral
download,5,0,neutral
bantu cari kerja cari karyawan kompeten,5,2,positive
bisa neg buka muncul mari aman cepat ujung error,1,3,positive
daftar sulit proses banget periksa aman cepat ini makan menit sinyal aman lancar,1,6,positive
bagus kalang profesional,5,2,positive
bantu,5,3,positive
bantu,5,3,positive
gagal daftar hasil logout masuk muter muter mulu bisa neg masuk,1,-4,negative
tolong kali kali coba bisa neg milik milik koneksi mudah neg dapat bajak ubah nama coba bisa neg verifikasi ktp merespon neg coba buffering periksa aman mohon baik,1,18,positive
bantu proses cari kerja informasi kerja,5,7,positive
gimana buffering mulu laptop jg susah error baik sistem platform gin,1,-7,negative
linkind bantu temu job sesuai fengan talenta,5,12,positive
nugguin verifikasi aman trusss,1,0,neutral
periksa aman,1,-5,negative
tahu,5,4,positive
suka neg initolong hapus aplikasi hp,1,-4,negative
,5,0,neutral
bisa neg masuk minggu halaman web sedia neg,2,-1,negative
bisa neg buka,2,3,positive
gabisa developer buru baik bug update,1,4,positive
bisa neg masuk gabisa bikin,1,-3,negative
,4,0,neutral
,3,0,neutral
ok,5,4,positive
suka,5,3,positive
mantap,5,5,positive
mantap,5,5,positive
helpful,5,0,neutral
bisa neg download,5,0,neutral
bantu,5,3,positive
ok mantap,5,9,positive
buffering mulu jirr download,1,2,positive
cv,5,0,neutral
mantap euyyy,5,5,positive
susah loginnnnn,1,-3,negative
bisa neg masuk erorr,1,-3,negative
gabisa mulu,1,2,positive
ayo berekpresi,5,4,positive
payah susaj,1,0,neutral
alhamdulillah neng banget cari kerja mudah panggil doa alda puasa panggil kerja langsung terima kerja aaaminn,5,23,positive
teman percaya gabung mantap,3,2,positive
tolong kembali uang potong otomatis gopay saya neg pasu pin,1,1,positive
im sorry but this is broken,1,-4,negative
tolong baik menu registrasi bisa neg daftar error periksa,1,-3,negative
grow professional network and carrier opportunity,5,0,neutral
loginnya susah tolong baik,1,3,positive
masuk angin bisa neg,1,-3,negative
loading tibatiba logout masuk logout tolong baik bug sistem,1,-1,negative
tarik dunia informasi komunikasi bidang universal service bantu kerja,5,12,positive
bantu cari peluang kerja kembang enterpreneur,5,5,positive
bisa neg,1,0,neutral
loadingnya stuck pas daftar,1,4,positive
stuck on loading for,1,0,neutral
nggak masuk aplikasi,1,-6,negative
bantu informasi ilmu tahu peluang karir bisnis,5,16,positive
tolong iklan suka muncul dmana bosan,1,7,positive
muncul mari laku periksa cepat cepat mata kau puqiiii,1,4,positive
rekomendasi cari kerja,5,-1,negative
oke,4,2,positive
keren banget my soulmate butuh kerja gabung,5,-7,negative
error kah bisa neg yak periksa aman cepat mulu tulis ujung tulis website error kocak dah,1,-18,negative
mohon maaf susah kali dn jeda ttp bisa neg mohon bantuanya terima,2,5,positive
bagus mudah cari lowong kerja online,5,5,positive
cacad tololl anehh muter terus,1,0,neutral
susah periksa aman stuck,1,-8,negative
masyallah,5,0,neutral
mantaaap,5,0,neutral
bisa neg donlot,1,0,neutral
gabisa daftar,1,1,positive
bagus ok,5,6,positive
bisa neg,1,0,neutral
warrr,5,0,neutral
ok suda,4,4,positive
bagus aplikasi suka lamalama suka biasa,5,6,positive
nilai,5,5,positive
i m welder,4,0,neutral
sangatt guna,5,1,positive
tutor donggg masuk neg dh,1,-3,negative
verifikasi ribet,1,-4,negative
produk,5,3,positive
stuck periksa cepat,1,-2,negative
bisa neg muter mulu koneksi stabil,1,7,positive
mantaf,5,0,neutral
moga bantu sukses impi capai bawa orang tua umroh amin moga semuah gru jaya sukses sllu,5,19,positive
ni,5,0,neutral
kotor bisa neg bantu jual iklan publikasi kerja usaha apl miskin negara miskin,5,-6,negative
jelas neg stuck periksa aman terus,1,-4,negative
dear developer kelola alami kendala bulan bantu hubung terimakasih,4,7,positive
bisa neg,2,0,neutral
bisa neg,1,0,neutral
mantup,5,0,neutral
like,5,0,neutral
pas daftar hambat periksa aman cepat,1,-2,negative
kaasih neg mending kasih neg gagal sign up teruss guna neg,1,1,positive
wonderful make easy my task and always supporting thanks noted we can discuss everythink about business and management from new relations,5,3,positive
gabisa repost postingan,2,0,neutral
tolong bisa neg email baik tolong aplikasi,1,5,positive
mentok buffering periksa cepat sinyal mulu jls neg tolong maintenance,1,-2,negative
daftar tp bisa neg kecewa rekomendasi bagus,1,3,positive
mau neg pdhl buka trus suruh verifikasi identitas selfifoto ktp tpi bisa neg baca pdhl foto tolong bantu solusi gimana nnti klo bantu bintang kasih,2,26,positive
masak kuali,5,2,positive
keren apic orangorang hubung beda status untung belah profesional,5,-3,negative
kena hack verifikasi kali bisa neg buka hacker beli premium bisa neg bayar telah kena hack bagus,1,-4,negative
knp,2,0,neutral
pernah neg dpt kerja dsni wkwkw,2,2,positive
buffering mulu,1,2,positive
dpt bnyk info kerja good job,5,4,positive
rindu,5,2,positive
knapa bisa neg masuk eror masuk,4,-10,negative
nyepam banget email,2,1,positive
gabisa masuk periksa cepat buffering,1,-5,negative
niat nggak niat neg hapus butuh nggak dipake,1,-6,negative
bisa neg daftar stuck periksa aman,1,-4,negative
bisa neg registrasi,1,0,neutral
tolong bisa neg buka loading ada neg tanda ata hanya neg loading mohon turun tangan bantu terpaksaa,3,12,positive
verifikasi ngerti neg indonesia mau,1,6,positive
woi gabisa anjer napa ngestuck periksa aman cepat tolong solusi apa biar gua kerja susah,2,-7,negative
keren habis,5,3,positive
ok,1,4,positive
nice,4,4,positive
bagusjadi informasi lowong kerja,5,4,positive
bisa neg log golgel gimana,5,0,neutral
selamat sore moga lancar sukses,5,13,positive
bisa neg loginbuat periksa cepat tolong diperbaikin,1,1,positive
mantab,5,0,neutral
bisa neg bikin gimana gagal mulu lot,1,-7,negative
saran cari informasi kerja hubung rekan kerja,5,10,positive
jejaring lingkung positif vibes org dgn semangat juang usaha penuh dedikasi ajar etc,5,13,positive
bisa neg,1,0,neutral
bagus,5,2,positive
bisa neg daftar stuck verifikasi,1,1,positive
keren banget,5,1,positive
susah bener gimana nihhh tolong error urgent nihh yaampun baik errorudh bolak hasil tetep error terusss,1,-4,negative
informasi guna kembang ahli profesi peluang kerja,5,8,positive
verikasi masalah bisa neg masuk,1,-7,negative
bantu dunia usaha kerja tambah jaring tahu,5,17,positive
bisa neg daftar tulis halaman web sedia neg jaring bagus,1,8,positive
linkedln saya neg bisa neg masuklogin mode buffering terus tulis mari laku periksa cepat solusi coba dr laptop bisa neg verifikasi hape jadi status blocked by csp,1,5,positive
bantu informasi lowong kerja,5,7,positive
apalikasi dukung karir kerja,5,6,positive
susah banget gabisa,1,-2,negative
tolol gamau dongo,1,-9,negative
mudah koneksi sharing manfaat,5,14,positive
,1,0,neutral
,5,0,neutral
suka linked mudah paham mengibur content tarik mantap,5,14,positive
luarbiasa member luarbiasaselamat kiprah capai baik,5,10,positive
paok dajjal tolol guna neg suruh msk no hp ad neg sms pakm,1,-6,negative
ab or bosun,5,-1,negative
donlod mudahn dpet kerja yag ccok,5,2,positive
puas,5,3,positive
admin kena hack ganti email gimana tanggung tutup takut aneh,3,-3,negative
good,5,5,positive
tolong baik ngelag bisa neg,1,6,positive
mohon maaf banget susah mentok periksa aman cepat mohon baik,1,0,neutral
bisa neg daftar je neg,1,1,positive
tolong ganti handphone tulis mari periksa cepat tunggu neterrblockedbycsp gakbisa,1,9,positive
ajar reset hp logout susah loginnya,5,-2,negative
bantu cari networking kerja bisnis teman,5,5,positive
stupid job platform,1,0,neutral
bantu,4,3,positive
aneh banget isi data data diri ntah experience study about profil kena restriced aju banding kemarin ktp verif wajah pagi email restriced acc remove pas masuk muter muter tulis mari laku periksa aman cepat gitu sampe,1,0,neutral
business premium mahal banget jtbulan,3,4,positive
need improvement,4,0,neutral
margono presiden republik indonesia,5,3,positive
terimakasih,5,5,positive
jos,5,0,neutral
ok mantap,3,9,positive
out eror install ulang,1,-4,negative
kenap tidk mendownload aneh,1,4,positive
driver,5,0,neutral
update iya registrasibikin susah banget server masalah kah developer ngelakuin registrasi ujung ujung bisa neg make no hplewat google facebookganti device hp laptop tetep bisa neg mohon developer update registrasi mudah,1,-6,negative
nama edit bisa neg ubah dapat neg huruf s susah banget jugaa wkkw periksa aman lamaa selesai neg selesai,1,-1,negative
alhamdulillah koneksi,5,7,positive
terima,5,2,positive
bug baik,5,3,positive
nggk,1,0,neutral
bisa neg pake hp,1,0,neutral
sangatt informasi tarik baik,5,7,positive
rumahtangga panggil menjadinseorabgnpemimpin partainpolitikkristen nasionalis kristen dot majumembangun bangsa mensejahterakanbangsa seta cerdas bangsa jauh korupsi daribangsa contoh dgn keringatsendiri spt sosok kakek sayaprofjmpanggabean punyaasset jual tinggal ygtidak tinggal kristus,5,-3,negative
mantap,5,5,positive
error nyasp tau masuk,5,-12,negative
downolad tarik rp duit tarik otomatis ada neg tuju beli aplikasi rugi tolong bantu kembali uang ambil,1,8,positive
bisa ambil dahgimana ni data data gua gimana dalamnyajelek banget aman nyasampe gua bisa neg masuk,1,-19,negative
good aplicaton,5,5,positive
download gabisa kek eror gitu tolong baik terimakasih,2,7,positive
mulai eh sistem periksa lot banget,1,-12,negative
eerr vc kencing manis,2,2,positive
knapa sya bisa neg install lagimohon bantu,3,3,positive
harus ganti perangkat kompatible,3,-2,negative
says pas re install bisa neg error butuh banget pake tetep error tolong baik,1,-5,negative
ganti perangkat ulang suruh buka tekan gimana tekan web bener bener aneh email bales neg kek gin boleh neg solusi,2,18,positive
cargobandara jasa kirim cargo via udara kirim paket pelosok daerah indonesia jasa kirim via udara murah solusi percaya layan cargobandara layan kirim express seluruh indonesia,5,21,positive
bisa neg sign sinyal cek,1,-4,negative
stak periksa aman cepat pasu sesuai perintah stak,2,1,positive
percaya,5,2,positive
halo admin complain kait daftar kali tunggu menit bisa neg masuk kendala server jaring bagus ada neg laging baik kali pulih,1,13,positive
sunguh luarbiasa,5,0,neutral
bantu proses,5,4,positive
mudah periksa,4,-1,negative
apa daftar susah banget error mulu nyoba daftar pake email no telfon sampe fb bisa neg web tolong profesional mudah bikin ribet,1,-3,negative
rusak gabisa buka periksa mulu kontoool,1,3,positive
kayak facebook,5,-3,negative
baru tetep bisa neg buka,1,3,positive
nggak loading sinyal klo kode prefikasi nggk masuk,1,-5,negative
ampun,1,1,positive
susah banget,1,-2,negative
susah eror,1,-7,negative
nggak masuk accountcuma stuck loading,1,-2,negative
assalamualaikum aamiin aamiin aamiin aamiin aamiin allah swt firman qs albaqarah ayat,5,14,positive
kemaren sampe gabisa error masuk neg,1,-8,negative
bug,1,0,neutral
this good,5,5,positive
versi close refresh tolong baik,2,6,positive
loadingnya eror diinstall ulang gitu gitu,1,-4,negative
back close selesai cari klik profil,1,-3,negative
force close google pixel a,2,-2,negative
error cari mesin cari keluar halaman wall bisa neg searching apa error,1,-22,negative
,5,0,neutral
force close,4,-2,negative
aplikasi error bisa neg,1,-9,negative
nge bug,5,0,neutral
fix the bug not running on android version,1,0,neutral
the best,5,0,neutral
why open profile become crash and close the page,2,-9,negative
premium mahal worth neg it,1,3,positive
lq f,5,0,neutral
habis update,1,3,positive
tibatiba bisa neg cek profil koneksi profil buka pesan bisa neg otomatis beranda update ada neg menu baru google store out berkalikali uninstall install emang gangguang,1,11,positive
tolong baru sistem verifikasi banget developer baru sistem operasi,1,-3,negative
hari close force knpa,1,-2,negative
gabisa allah jelas neg kmrin skrg gabisa,1,6,positive
profesional jalan hubung bisnisthanks,5,1,positive
sangattttt kecewa susahhhhh bagus,1,2,positive
great job hunter community application,5,3,positive
aada bugnya tolong bantu baik tbtb henti,1,5,positive
bisa neg,1,0,neutral
great,5,3,positive
update android bisa neg cari profil profile tsb lgsg force close,1,-5,negative
bajak bisa neg loginsampah hapus team,1,-6,negative
tolong developer android ver update android mo ganti basq,1,6,positive
bisa neg error diupdate proses verifikasi gagal masukin password error,1,-13,negative
kasi aplikasi,5,-7,negative
susah eror pas verifikasi,2,-4,negative
cant make a new account since weeks ago,1,0,neutral
suka,5,3,positive
bisa neg digunain tau neg knp gj nyari kerja shrsnya mudah sulit heuuuh,1,0,neutral
tunggu melakua pmeriksaaan cepat asli lot ak sampek daftar hap leptop tp hasil tetep gimanamau,1,5,positive
rockybali,5,0,neutral
gagal putar putar jelas neg,1,-3,negative
error,1,-5,negative
buka pesan langsung halaman utama susah,1,5,positive
aplikasi bagus kerja hasil apply cv,5,3,positive
chat di neg akses eror,1,1,positive
cant cant create a new one bad,1,-4,negative
,1,0,neutral
support neg android buka linked auto tutup halaman profil,1,5,positive
tolong bikin muter doang,1,4,positive
tahu,5,4,positive
mantap,5,5,positive
ajar ilmu penulispenulis ahli bidang masingmasing thx,5,5,positive
instal kemarin coba,3,2,positive
force close vivo android,1,-2,negative
dapat neg stuck security verifikasi baik,1,5,positive
mantap pooolzipp,5,5,positive
pas besok akun tuh stuck periksa aman cek hp kakak ada neg alias ilang bikin bisa neg,1,-7,negative
ni bisa neg buka verifikasi cepat sampe minggu lkebuka,1,6,positive
ssya mengunakan,5,0,neutral
server lot pas verifikasi parah,1,-7,negative
